Latitude,Longitude,Locations,year,fatalities,ground
38.88244,-77.08075,"Fort Myer, Virginia",1908,1   (passengers:1  crew:0),0
48.69029,2.37386,"Juvisy-sur-Orge, France",1909,1   (passengers:0  crew:0),0
39.36288,-74.42638,"Atlantic City, New Jersey",1912,5   (passengers:0  crew:5),0
48.42855,-123.36445,"Victoria, British Columbia, Canada",1913,1   (passengers:0  crew:1),0
40.19086,-74.02222,the North Sea,1913,14   (passengers:?  crew:?),0
52.4433,13.50273,"Near Johannisthal, Germany",1913,30   (passengers:?  crew:?),0
50.80968,4.93013,"Tienen, Belgium",1915,21   (passengers:?  crew:?),0
53.85831,8.69782,"Off Cuxhaven, Germany",1915,19   (passengers:?  crew:?),0
42.4878,26.51103,"Jambol, Bulgeria",1916,20   (passengers:?  crew:?),0
51.62485,0.41695,"Billericay, England",1916,22   (passengers:?  crew:?),0
51.69314,-0.17834,"Potters Bar, England",1916,19   (passengers:0  crew:19),0
50.00062,8.27241,"Mainz, Germany",1916,27   (passengers:?  crew:?),0
54.64544,-1.20394,"Off West Hartlepool, England",1916,20   (passengers:?  crew:?),0
51.05563,3.72856,"Near Gent, Belgium",1917,20   (passengers:?  crew:?),0
52.77153,9.97904,Off Northern Germany,1917,23   (passengers:?  crew:?),0
40.93083,-72.417,North Sea,1917,21   (passengers:?  crew:?),0
40.93083,-72.417,North Sea,1917,24   (passengers:?  crew:?),0
50.70502,-1.49666,"Near Yarmouth, England",1917,14   (passengers:?  crew:?),0
-34.96003,117.35469,western Denmark,1917,18   (passengers:?  crew:?),0
48.59444,6.48977,"Near Luneville, France",1917,18   (passengers:?  crew:?),0
33.34629,-111.8169,the Mediterranean,1918,23   (passengers:?  crew:?),0
54.18145,7.89029,"Off Helgoland Island, Germany",1918,22   (passengers:?  crew:?),0
40.93083,-72.417,North Sea,1918,19   (passengers:?  crew:?),0
40.66382,-74.21144,"Elizabeth, New Jersey",1918,1   (passengers:0  crew:1),0
41.50473,-81.69075,"Cleveland, Ohio",1919,1   (passengers:0  crew:1),0
39.95029,-79.45355,"Run, Pennsylvania",1919,1   (passengers:0  crew:1),0
45.4383,10.99171,"Verona, Italy",1919,14   (passengers:12  crew:2),0
54.9779,-1.61162,"Newcastle, England",1919,1   (passengers:0  crew:1),0
39.25942,-76.71975,"Cantonsville, Maryland",1919,1   (passengers:0  crew:1),0
38.62841,-85.12876,"English Channel off Forkstone, Kent",1919,0   (passengers:?  crew:?),0
40.78337,-74.76807,"Long Valley, New Jersey",1919,1   (passengers:0  crew:1),0
51.28158,-0.07694,"Catherham, Surrey, UK",1919,1   (passengers:1  crew:1),0
41.50049,-85.82983,"New Paris, Indiana",1920,1   (passengers:0  crew:1),0
40.73198,-74.17421,"Newark, New Jersey",1920,1   (passengers:0  crew:1),0
40.73198,-74.17421,"Newark, New Jersey",1920,1   (passengers:?  crew:?),0
40.73351,-74.0782,"Field, New Jersey",1920,1   (passengers:0  crew:1),0
41.29693,-92.64509,"Oskaloosa, Iowa",1920,1   (passengers:?  crew:?),0
41.50473,-81.69075,"Cleveland, Ohio",1920,1   (passengers:0  crew:1),0
10.42505,-75.53837,"Cartagena, Columbia",1920,1   (passengers:1  crew:1),0
52.13921,-0.46369,"Bedford, England",1920,1   (passengers:0  crew:1),0
38.98073,-76.93727,"College Park, Maryland",1920,1   (passengers:0  crew:1),0
40.79352,-74.47774,"Morristown, New Jersey",1920,2   (passengers:0  crew:2),0
41.40945,-83.46128,"Pemberville, Ohio",1920,2   (passengers:?  crew:?),0
40.53811,-76.96166,"Hillersburg, Pennsylvania",1920,1   (passengers:0  crew:1),0
43.23163,3.24876,"Off Port Vendres, France",1920,2   (passengers:1  crew:1),0
39.46895,-0.37686,"Valencia, Spain",1920,2   (passengers:1  crew:1),0
41.85,-88.30843,"Batavia, Illinois",1920,1   (passengers:0  crew:1),0
41.08043,-105.50776,"Tie Siding, Wyoming",1920,1   (passengers:0  crew:1),0
51.50643,-0.12721,"London, England",1920,4   (passengers:2  crew:2),0
41.38804,2.17001,"Barcelona, Spain",1920,1   (passengers:0  crew:1),0
44.88638,-93.1618,"Mendotta, Minnisota",1921,1   (passengers:0  crew:1),0
43.81263,-91.25192,"La Crosse, Wisconsin",1921,3   (passengers:0  crew:3),0
52.98299,-6.7007,Off Gibraltar,1921,2   (passengers:0  crew:2),0
40.83569,-115.76754,"Elko, Nevada",1921,1   (passengers:0  crew:1),0
-37.8955,144.75415,"Point Cook, Australia",1921,2   (passengers:0  crew:0),0
40.97516,-73.11929,"Field, NY",1921,1   (passengers:0  crew:1),0
41.50473,-81.69075,"Cleveland, Ohio",1921,1   (passengers:0  crew:1),0
41.58632,-109.22267,"Rock Springs, Wyoming",1921,1   (passengers:0  crew:1),0
43.60579,1.44864,"Toulouse, France",1921,2   (passengers:?  crew:?),0
50.5676,-3.55611,"River Humber, England",1921,46   (passengers:0  crew:46),1
48.85718,2.34141,"Paris, France",1921,5   (passengers:4  crew:1),0
-36.59563,145.22637,"Near Murchinson River, Australia",1921,2   (passengers:0  crew:2),0
48.85718,2.34141,"Paris, France",1922,5   (passengers:4  crew:1),5
36.85214,-76.17979,"Near Norfolk, Virginia",1922,34   (passengers:?  crew:?),0
38.34365,-75.0783,North Atlantic Ocean,1922,5   (passengers:5  crew:0),0
49.66847,1.9348,"Grandvilliers, France",1922,7   (passengers:5  crew:2),0
39.90657,116.38766,China,1922,17   (passengers:0  crew:17),0
51.08444,1.17798,"Off Folkestone, Kent, England",1922,3   (passengers:2  crew:1),0
53.63456,10.01628,"Fuhlsbuttel, Germany",1922,2   (passengers:1  crew:1),0
48.73028,7.36286,"Near Saverne, Lorraine, France",1922,5   (passengers:4  crew:1),0
36.52989,-6.29026,"Cadix, Spain",1922,3   (passengers:2  crew:1),0
39.76691,-86.14996,"Indianapolis, Indiana",1922,1   (passengers:0  crew:1),0
45.43811,12.31815,"Venice, Italy",1922,4   (passengers:3  crew:1),0
35.1941,-6.14448,"Larache, Morocco",1922,2   (passengers:1  crew:1),0
34.0419,-5.00062,"Fez, Morocco",1922,1   (passengers:0  crew:1),0
41.91723,8.73451,"Ajaccio, France",1923,3   (passengers:1  crew:2),0
41.38804,2.17001,"Barcelona, Spain",1923,1   (passengers:0  crew:1),0
41.13482,-104.82154,"Cheyenne, Wyoming",1923,1   (passengers:0  crew:1),0
41.63649,-80.15144,"Meadville, Pennsylvania",1923,1   (passengers:0  crew:1),0
49.91434,2.24899,"Near Amiens, Picrdie, France",1923,6   (passengers:4  crew:2),0
44.4343,26.10298,"Bucharest, Romania",1923,2   (passengers:1  crew:1),0
41.46442,-83.95191,"Colton, Ohio",1923,1   (passengers:0  crew:1),0
51.82217,-0.79618,"Near Ivinghoe, Buckinghamshire, England",1923,5   (passengers:3  crew:2),0
55.75697,37.61502,Russia,1923,3   (passengers:1  crew:2),0
41.40001,-82.80846,"Castalia, Ohio",1923,1   (passengers:0  crew:1),0
50.78467,-1.08818,Sea,1923,52   (passengers:?  crew:?),0
41.17104,-104.25376,"Egbert, WY",1923,1   (passengers:0  crew:1),0
40.96429,-78.61003,"Grampian, Pennsylvania",1924,1   (passengers:0  crew:1),0
27.9352,-82.21804,Over the English Channel,1924,3   (passengers:2  crew:1),0
10.98269,-74.83019,"Barranquilla, Colombia",1924,5   (passengers:3  crew:2),0
38.89037,-77.03196,United States,1924,1   (passengers:0  crew:1),0
43.54439,3.12504,"Cabrerolles, France",1924,1   (passengers:0  crew:1),0
41.58918,-85.83695,"Goshen, Indiana",1924,1   (passengers:0  crew:1),0
51.33867,-0.11673,"Purley, England",1924,8   (passengers:7  crew:1),0
41.70907,44.79611,"Near Tiflis, Georgia, USSR",1925,5   (passengers:3  crew:2),0
38.3441,-0.48043,"Alicante, Spain",1925,3   (passengers:1  crew:2),0
50.12489,3.68931,"Landrécies, France",1925,4   (passengers:3  crew:1),0
38.3441,-0.48043,"Alicante, Spain",1925,2   (passengers:0  crew:2),0
40.42869,-3.60086,"Rosas, Spain",1925,1   (passengers:0  crew:1),0
47.49973,19.05508,"Budapest, Hungary",1925,1   (passengers:0  crew:1),0
39.74783,-81.52201,"Caldwell, Ohio",1925,14   (passengers:?  crew:?),0
48.67206,5.88829,"Toul, France",1925,?   (passengers:?  crew:?),?
48.83833,-111.84619,"Mt, Ohio",1925,1   (passengers:0  crew:1),0
20.91355,-17.05071,"Nouadhibou, Mauritania",1925,1   (passengers:0  crew:1),0
50.72779,1.61444,"Off Boulogne-sur-Mer, France",1925,2   (passengers:?  crew:?),0
41.586,-84.6071,"Montpelier, Ohio",1926,1   (passengers:0  crew:1),0
52.5396,13.14283,"Staaken, Germany",1926,1   (passengers:0  crew:1),0
54.27945,-7.08921,English Channel,1926,1   (passengers:0  crew:1),0
50.95069,4.30911,"Wolvertem, Belgium",1926,2   (passengers:1  crew:1),0
53.67753,6.99625,"Juist, Germany",1926,5   (passengers:4  crew:1),0
51.25375,0.33366,"Hurst, Kent, England",1926,4   (passengers:3  crew:1),0
40.71455,-74.00714,"New York, New York",1926,2   (passengers:2  crew:0),0
51.19678,0.21518,"Leigh, Kent, Unied Kingdom",1926,7   (passengers:5  crew:2),0
51.5515,8.56007,"Bueren, Germany",1926,4   (passengers:3  crew:1),0
54.27945,-7.08921,English Channel,1926,0   (passengers:0  crew:0),0
34.01794,-6.83605,Morocco,1926,3   (passengers:3  crew:0),0
42.32356,-122.87561,"Medford, Oregon",1926,1   (passengers:0  crew:1),0
50.64402,2.72422,"Estaires, France",1927,0   (passengers:0  crew:2),0
34.01794,-6.83605,"Rabat, Morocco",1927,1   (passengers:0  crew:1),0
-24.88263,146.25562,"Tambo, Qld, Australia",1927,3   (passengers:2  crew:1),0
43.00276,-115.20812,"King Hill, Idaho",1927,1   (passengers:0  crew:1),0
50.75428,10.48147,"Floh, Germany",1927,2   (passengers:1  crew:1),0
41.58918,-85.83695,"Goshen, Indiana",1927,1   (passengers:0  crew:1),0
36.77157,3.05927,"Algiers, Algeria",1927,1   (passengers:0  crew:1),0
50.79833,8.92385,"Amoneburg, Germany",1927,5   (passengers:3  crew:2),0
51.27021,0.19296,"Sevenoaks, England",1927,1   (passengers:0  crew:1),0
41.87944,-72.3014,"Willington, Connecticut",1927,1   (passengers:0  crew:1),0
40.21788,-74.7594,New Jersey,1927,7   (passengers:6  crew:1),0
39.32833,-74.58868,Atlantic Ocean,1927,3   (passengers:1  crew:2),0
50.57776,11.80866,"Schleiz, Germany",1927,6   (passengers:4  crew:2),0
18.09194,-15.97248,Mauritania,1927,2   (passengers:0  crew:2),0
40.49477,-74.44384,"New Brunswick, New Jersey",1927,4   (passengers:3  crew:1),0
48.58504,7.73643,"Strasburg, France",1927,1   (passengers:0  crew:1),0
47.41617,-91.24623,of Finland,1927,6   (passengers:4  crew:2),0
41.43574,-85.14741,"Corunna, Indiana",1927,1   (passengers:0  crew:1),0
36.84192,-2.46362,"Almeria, Spain",1927,1   (passengers:0  crew:1),0
43.33633,1.65359,"Near Marseille,France",1927,5   (passengers:0  crew:5),0
42.9065,-74.57179,"Near Canajoharie, New York",1928,3   (passengers:1  crew:2),0
-34.78684,-55.38245,"Solis, Uruguay",1928,2   (passengers:0  crew:2),0
43.22892,1.71394,"L'Hospitalet, Ariège",1928,1   (passengers:0  crew:1),0
41.11703,1.25386,"Tarragona, Spain",1928,2   (passengers:0  crew:2),0
36.84192,-2.46362,"Almeria, Spain",1928,1   (passengers:0  crew:1),0
41.00312,-98.01219,"Marquette, Nebraska",1928,1   (passengers:1  crew:0),0
46.35878,6.69765,"Nez, France",1928,2   (passengers:0  crew:2),0
41.27217,-105.11471,"Federal, Wyoming",1928,1   (passengers:1  crew:0),0
41.91072,-2.75986,"Minuesa, Spain",1928,9   (passengers:7  crew:2),0
-27.5976,-48.548,"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil",1928,1   (passengers:1  crew:0),0
44.94339,-93.09648,Minnesota,1928,2   (passengers:0  crew:2),0
51.20401,7.35724,"Radevormwald, Germany",1928,3   (passengers:2  crew:1),0
50.11208,8.68342,"Frankfurt, Germany",1928,5   (passengers:4  crew:1),0
38.41438,-95.85785,"Lebo, Kansas",1928,1   (passengers:0  crew:1),0
47.41617,-91.24623,of Finland,1928,6   (passengers:4  crew:2),0
51.33867,-0.11673,"Purley, England",1928,4   (passengers:4  crew:0),0
51.88372,4.42768,"Waalhaven, Netherlands",1928,1   (passengers:1  crew:0),0
49.13013,-122.91897,"Near Port Townsend, BC, Canada",1928,7   (passengers:5  crew:2),0
48.67206,5.88829,"Toul, France",1928,5   (passengers:2  crew:3),0
-34.80977,138.65924,"Adelaide Hills, Australia",1928,1   (passengers:0  crew:1),0
42.87498,-112.45057,"Pocatello, Idaho",1928,7   (passengers:6  crew:1),0
49.69283,10.99907,"Heroldbach, Germany",1928,3   (passengers:2  crew:1),0
41.98081,2.81874,"Gerona, Spain",1928,3   (passengers:2  crew:1),0
41.36696,-79.92954,"Polk, Pennsylvania",1928,1   (passengers:0  crew:1),0
44.93046,4.88924,"Valence, France",1928,1   (passengers:0  crew:1),0
52.98299,-6.7007,Off Gibraltar,1928,1   (passengers:0  crew:1),0
41.44832,-84.74808,"Edgerton, Ohio",1928,3   (passengers:2  crew:1),0
41.44832,-84.74808,"Edgerton, Ohio",1928,1   (passengers:0  crew:1),0
41.38739,-80.86854,"Bristolville, Ohio",1928,1   (passengers:0  crew:1),0
33.47594,-100.85572,"Spur, Texas",1928,5   (passengers:4  crew:1),0
-22.91216,-43.17501,"Near Rio de Janeiro,Brazil",1928,14   (passengers:9  crew:5),0
47.65726,-117.41228,"Spokan, Washington",1928,5   (passengers:3  crew:2),0
52.44708,11.48715,"Letzlingen, Germany",1928,3   (passengers:0  crew:3),0
41.39103,-82.55826,"Huron, Ohio",1928,1   (passengers:0  crew:1),0
35.04672,-85.30947,"Chattanooga, Tennessee",1928,4   (passengers:3  crew:1),0
49.2602,4.02956,"Reims, France",1928,2   (passengers:2  crew:0),0
41.95324,-72.31683,"Stafford Springs, Connecticut",1929,1   (passengers:0  crew:1),0
45.30151,-117.80855,"Cove, Oregon",1929,1   (passengers:0  crew:1),0
39.61861,19.90772,"Near Corfu, Greece",1929,2   (passengers:7  crew:2),0
39.63038,-79.95785,"Morgantown, West Virginia",1929,1   (passengers:0  crew:1),0
34.01794,-6.83605,Morocco,1929,2   (passengers:0  crew:2),0
40.73198,-74.17421,"Newark, New Jersey",1929,14   (passengers:13  crew:1),0
33.91513,-116.94981,"Near Beaumont, California",1929,4   (passengers:3  crew:1),0
32.71568,-117.16171,"San Diego, California",1929,6   (passengers:3  crew:3),0
22.21363,-97.8573,"Tampico, Mexico",1929,5   (passengers:4  crew:1),0
47.32186,18.96179,"Tököl,  Pest Hungary",1929,2   (passengers:0  crew:2),0
36.77157,3.05927,Algiers,1929,4   (passengers:3  crew:2),0
20.02583,-75.8081,"Santiago de Cuba, Cuba",1929,2   (passengers:1  crew:1),0
41.38804,2.17001,"Barcelona, Spain",1929,1   (passengers:0  crew:1),0
50.91588,0.97723,"Off Dungeness, England",1929,7   (passengers:7  crew:0),0
44.94339,-93.09648,"St. Paul, Minnesota",1929,1   (passengers:0  crew:1),0
47.54803,9.68512,"Near Lindau, Bavaria, Germany",1929,5   (passengers:4  crew:1),0
39.96199,-83.00276,"Columbus, Ohio",1929,1   (passengers:0  crew:1),0
34.40523,-103.20534,"Clovis, New Mexico",1929,4   (passengers:2  crew:2),0
49.29947,6.84639,"Elm, Germany",1929,4   (passengers:3  crew:1),0
43.61715,39.72451,"Sochi, Russia",1929,1   (passengers:0  crew:1),0
34.83847,-114.60433,"Needles, California",1929,1   (passengers:0  crew:1),0
35.15379,-107.82491,"Mt. Taylor, near Grants, New Mexico",1929,8   (passengers:5  crew:3),0
26.34096,57.19492,"Jask, Iran",1929,3   (passengers:1  crew:2),0
38.34365,-75.0783,North Atlantic Ocean,1929,6   (passengers:4  crew:2),0
43.15635,-79.24869,"Saint Catharines, Ontario",1929,6   (passengers:5  crew:1),0
41.30158,-72.32706,"Mt Lamentation, Connecticut",1929,1   (passengers:0  crew:1),0
32.61767,-116.18854,"Jacumba, California",1929,1   (passengers:0  crew:1),0
35.1941,-6.14448,"Off Larache, Morocco",1929,5   (passengers:3  crew:2),0
44.10212,9.82006,"Off Spezia, Italy",1929,7   (passengers:5  crew:2),0
40.39293,-82.48547,"Mount Vernon, Ohio",1929,1   (passengers:0  crew:1),0
47.56501,-122.62749,"Off Bremerton, Washington",1929,2   (passengers:0  crew:2),0
20.4294,-97.31496,"Cerro del Carbon, Mexico",1929,4   (passengers:3  crew:1),0
51.25008,-0.06698,"Near Godstone, Surrey, England",1929,7   (passengers:3  crew:4),0
41.91723,8.73451,"Corsica, France",1929,3   (passengers:0  crew:3),0
40.9298,9.06569,"Pausania, East Sardinia",1929,1   (passengers:1  crew:0),0
45.63222,-122.67156,"Vancouver, Washington",1929,1   (passengers:0  crew:1),0
41.42976,-81.39244,"Chagrin Falls, Ohio",1929,1   (passengers:0  crew:1),0
52.40248,13.39164,"Near Berlin, Germany",1929,2   (passengers:0  crew:2),0
35.20726,-101.83389,"Amarillo, Texas",1929,5   (passengers:3  crew:2),0
41.18634,-103.11408,"Brawnson, Nebraska",1930,1   (passengers:0  crew:1),0
-18.91003,47.52737,"Antananarivo, Madagascar",1930,3   (passengers:0  crew:3),0
33.19715,-117.38058,"Oceanside, California",1930,16   (passengers:14  crew:2),0
